account,period,value
cash,2022Q1,48944982000000.0
ar,2022Q1,44464968000000.0
inventory,2022Q1,47590731000000.0
assets_total,2022Q1,439326959000000.0
cash_change,2022Q1,9913567000000.0
cash_begin,2022Q1,39031415000000.0
cash_end,2022Q1,48944982000000.0
cash,2022Q2,39583141000000.0
ar,2022Q2,44026232000000.0
inventory,2022Q2,52092241000000.0
assets_total,2022Q2,448040650000000.0
cash_change,2022Q2,551726000000.0
cash_begin,2022Q2,39031415000000.0
cash_end,2022Q2,39583141000000.0
cash,2022Q3,44515421000000.0
ar,2022Q3,47421784000000.0
inventory,2022Q3,57319848000000.0
assets_total,2022Q3,470278409000000.0
cash_change,2022Q3,5484006000000.0
cash_begin,2022Q3,39031415000000.0
cash_end,2022Q3,44515421000000.0
cash,2022Q4,49680710000000.0
ar,2022Q4,35721563000000.0
inventory,2022Q4,52187866000000.0
assets_total,2022Q4,448424507000000.0
cash_change,2022Q4,10649295000000.0
cash_begin,2022Q4,39031415000000.0
cash_end,2022Q4,49680710000000.0
cash,2023Q1,72949377000000.0
ar,2023Q1,36632159000000.0
inventory,2023Q1,54419586000000.0
assets_total,2023Q1,454091777000000.0
cash_change,2023Q1,23268667000000.0
cash_begin,2023Q1,49680710000000.0
cash_end,2023Q1,72949377000000.0
cash,2023Q2,79919775000000.0
ar,2023Q2,36104142000000.0
inventory,2023Q2,55504798000000.0
assets_total,2023Q2,448000552000000.0
cash_change,2023Q2,30239065000000.0
cash_begin,2023Q2,49680710000000.0
cash_end,2023Q2,79919775000000.0
assets_total,2023Q3,454466447000000.0
ar,2023Q3,43405955000000.0
cash,2023Q3,75144284000000.0
inventory,2023Q3,55255957000000.0
cash_begin,2023Q3,49680710000000.0
cash_end,2023Q3,75144284000000.0
cash_change,2023Q3,25463574000000.0
assets_total,2023Q4,455905980000000.0
cash,2023Q4,69080893000000.0
ar,2023Q4,36647393000000.0
inventory,2023Q4,51625874000000.0
investments,2023Q4,11767444000000.0
cash_begin,2023Q4,49680710000000.0
cash_end,2023Q4,69080893000000.0
cash_change,2023Q4,19400183000000.0
assets_total,2024Q1,470899812000000.0
cash,2024Q1,61906097000000.0
ar,2024Q1,41145391000000.0
inventory,2024Q1,53347700000000.0
investments,2024Q1,11907773000000.0
cash_begin,2024Q1,69080893000000.0
cash_end,2024Q1,61906097000000.0
cash_change,2024Q1,-7174796000000.0
assets_total,2024Q2,485757698000000.0
cash,2024Q2,49844405000000.0
ar,2024Q2,43660885000000.0
inventory,2024Q2,55566613000000.0
cash_begin,2024Q2,69080893000000.0
cash_end,2024Q2,49844405000000.0
cash,2024Q2,-19236488000000.0
assets_total,2024Q3,491307317000000.0
cash,2024Q3,43131359000000.0
ar,2024Q3,44692044000000.0
inventory,2024Q3,53356759000000.0
cash_begin,2024Q3,69080893000000.0
cash_end,2024Q3,43131359000000.0
cash,2024Q3,-25949534000000.0
assets_total,2024Q4,514531948000000.0
cash,2024Q4,53705579000000.0
ar,2024Q4,43623073000000.0
inventory,2024Q4,51754865000000.0
cash_begin,2024Q4,69080893000000.0
cash_end,2024Q4,53705579000000.0
cash,2024Q4,-15375314000000.0
assets_total,2025Q1,516376748000000.0
cash,2025Q1,53161004000000.0
ar,2025Q1,44866585000000.0
inventory,2025Q1,53220267000000.0
cash_begin,2025Q1,53705579000000.0
cash_end,2025Q1,53161004000000.0
cash,2025Q1,-544575000000.0
assets_total,2025Q2,504875185000000.0
cash,2025Q2,47120025000000.0
ar,2025Q2,43550509000000.0
inventory,2025Q2,51037413000000.0
cash_begin,2025Q2,53705579000000.0
cash_end,2025Q2,47120025000000.0
cash,2025Q2,-6585554000000.0
