품목명,품목코드,metric,value,yyyymm,year,month,date,quarter
인쇄회로기판 및 전자부품 실장기판,25040,출하지수201501,100.9,201501,2015,1,2015-01-01,2015Q1
그외 전자부품,25050,출하지수201501,101.0,201501,2015,1,2015-01-01,2015Q1
컴퓨터 주변기기,25060,출하지수201501,125.6,201501,2015,1,2015-01-01,2015Q1
유선 통신장비,25070,출하지수201501,110.3,201501,2015,1,2015-01-01,2015Q1
방송장비 및 통신장비,25080,출하지수201501,111.4,201501,2015,1,2015-01-01,2015Q1
방송수신기 및 기타 영상기기,25090,출하지수201501,103.6,201501,2015,1,2015-01-01,2015Q1
음향기기,25100,출하지수201501,105.2,201501,2015,1,2015-01-01,2015Q1
마그네틱 및 광학 매체,25110,출하지수201501,97.1,201501,2015,1,2015-01-01,2015Q1
정밀기기부품,26000,출하지수201501,101.9,201501,2015,1,2015-01-01,2015Q1
방사선장치 및 전기식 진단기기부품,26010,출하지수201501,75.9,201501,2015,1,2015-01-01,2015Q1
기타 의료용기기 및 부품,26020,출하지수201501,91.0,201501,2015,1,2015-01-01,2015Q1
"측정, 시험, 항해, 기타 정밀기기 및 부품",26030,출하지수201501,104.9,201501,2015,1,2015-01-01,2015Q1
광학기기 및 사진장비,26040,출하지수201501,102.4,201501,2015,1,2015-01-01,2015Q1
시계부품,26050,출하지수201501,97.8,201501,2015,1,2015-01-01,2015Q1
수송기계부품,27000,출하지수201501,101.5,201501,2015,1,2015-01-01,2015Q1
자동차용 엔진,27010,출하지수201501,100.2,201501,2015,1,2015-01-01,2015Q1
자동차 엔진용 부품,27030,출하지수201501,101.3,201501,2015,1,2015-01-01,2015Q1
자동차 차체용 부품,27040,출하지수201501,100.4,201501,2015,1,2015-01-01,2015Q1
자동차부품,27050,출하지수201501,100.4,201501,2015,1,2015-01-01,2015Q1
선박 구성부분품,27060,출하지수201501,113.6,201501,2015,1,2015-01-01,2015Q1
철도차량부품 및 관련장치,27070,출하지수201501,97.9,201501,2015,1,2015-01-01,2015Q1
항공기용 엔진 및 부품,27080,출하지수201501,113.6,201501,2015,1,2015-01-01,2015Q1
모터사이클,27090,출하지수201501,112.9,201501,2015,1,2015-01-01,2015Q1
자전거 및 환자용 차량,27100,출하지수201501,112.7,201501,2015,1,2015-01-01,2015Q1
운송장비용 의자,27110,출하지수201501,100.7,201501,2015,1,2015-01-01,2015Q1
장비,30000,출하지수201501,89.3,201501,2015,1,2015-01-01,2015Q1
정밀가공장비,31000,출하지수201501,88.2,201501,2015,1,2015-01-01,2015Q1
가공공작기계,31010,출하지수201501,98.5,201501,2015,1,2015-01-01,2015Q1
금속절삭 및 금속성형,31020,출하지수201501,85.5,201501,2015,1,2015-01-01,2015Q1
기타 가공 공작기계,31030,출하지수201501,98.5,201501,2015,1,2015-01-01,2015Q1
산업공정장비,32000,출하지수201501,92.0,201501,2015,1,2015-01-01,2015Q1
산업 처리공정 제어장비,32010,출하지수201501,106.5,201501,2015,1,2015-01-01,2015Q1
그 외 기타 전기장비,32020,출하지수201501,81.4,201501,2015,1,2015-01-01,2015Q1
일반목적용 기계장비,32030,출하지수201501,85.5,201501,2015,1,2015-01-01,2015Q1
특수목적용 기계장비,32040,출하지수201501,93.1,201501,2015,1,2015-01-01,2015Q1
반도체·디스플레이장비,33000,출하지수201501,86.0,201501,2015,1,2015-01-01,2015Q1
반도체·디스플레이장비,33010,출하지수201501,86.0,201501,2015,1,2015-01-01,2015Q1
제조로봇 자동화장비,34000,출하지수201501,99.3,201501,2015,1,2015-01-01,2015Q1
승강기 및 컨베이어 장치,34010,출하지수201501,86.7,201501,2015,1,2015-01-01,2015Q1
산업용 로봇,34020,출하지수201501,102.7,201501,2015,1,2015-01-01,2015Q1
계측장비,35000,출하지수201501,88.7,201501,2015,1,2015-01-01,2015Q1
"측정,시험,제어 등 장비",35010,출하지수201501,85.2,201501,2015,1,2015-01-01,2015Q1
광학기기 장비,35020,출하지수201501,102.3,201501,2015,1,2015-01-01,2015Q1
소재부품장비,0,출하지수201502,87.9,201502,2015,2,2015-02-01,2015Q1
소재,10000,출하지수201502,89.8,201502,2015,2,2015-02-01,2015Q1
섬유제품,11000,출하지수201502,83.7,201502,2015,2,2015-02-01,2015Q1
제사 및 방적,11010,출하지수201502,83.7,201502,2015,2,2015-02-01,2015Q1
직물직조,11020,출하지수201502,80.2,201502,2015,2,2015-02-01,2015Q1
섬유염색 및 가공,11030,출하지수201502,80.0,201502,2015,2,2015-02-01,2015Q1
편조원단,11040,출하지수201502,87.8,201502,2015,2,2015-02-01,2015Q1
기타 섬유제품,11090,출하지수201502,88.6,201502,2015,2,2015-02-01,2015Q1
화학물질 및 화학제품,12000,출하지수201502,94.9,201502,2015,2,2015-02-01,2015Q1
석유화학계 기초화학물질,12010,출하지수201502,100.3,201502,2015,2,2015-02-01,2015Q1
기타 기초유기화학물질,12020,출하지수201502,84.9,201502,2015,2,2015-02-01,2015Q1
기타 기초무기화학물질,12030,출하지수201502,91.3,201502,2015,2,2015-02-01,2015Q1
"무기안료, 염료, 유연제 및 기타 착색제",12040,출하지수201502,87.5,201502,2015,2,2015-02-01,2015Q1
합성고무 및 플라스틱 물질,12050,출하지수201502,97.9,201502,2015,2,2015-02-01,2015Q1
농약,12060,출하지수201502,157.1,201502,2015,2,2015-02-01,2015Q1
도료 및 인쇄잉크,12070,출하지수201502,76.5,201502,2015,2,2015-02-01,2015Q1
계면활성제,12080,출하지수201502,92.3,201502,2015,2,2015-02-01,2015Q1
기타 화학제품,12090,출하지수201502,90.4,201502,2015,2,2015-02-01,2015Q1
화학섬유,12100,출하지수201502,92.9,201502,2015,2,2015-02-01,2015Q1
기초의약물질 및 생물학적 제제,12110,출하지수201502,91.0,201502,2015,2,2015-02-01,2015Q1
고무 및 플라스틱제품,13000,출하지수201502,92.2,201502,2015,2,2015-02-01,2015Q1
고무제품,13010,출하지수201502,86.3,201502,2015,2,2015-02-01,2015Q1
플라스틱제품,13020,출하지수201502,93.5,201502,2015,2,2015-02-01,2015Q1
비금속 광물제품,14000,출하지수201502,79.9,201502,2015,2,2015-02-01,2015Q1
판유리,14010,출하지수201502,74.3,201502,2015,2,2015-02-01,2015Q1
산업용 유리제품,14020,출하지수201502,89.2,201502,2015,2,2015-02-01,2015Q1
산업용 도자기,14030,출하지수201502,74.7,201502,2015,2,2015-02-01,2015Q1
내화 요업제품,14040,출하지수201502,93.5,201502,2015,2,2015-02-01,2015Q1
석회,14050,출하지수201502,66.8,201502,2015,2,2015-02-01,2015Q1
기타 비금속광물제품,14090,출하지수201502,46.0,201502,2015,2,2015-02-01,2015Q1
1차 금속제품,15000,출하지수201502,84.7,201502,2015,2,2015-02-01,2015Q1
합금철,15010,출하지수201502,87.8,201502,2015,2,2015-02-01,2015Q1
철강압연.압출 및 연신제품,15020,출하지수201502,83.3,201502,2015,2,2015-02-01,2015Q1
철강관,15030,출하지수201502,89.5,201502,2015,2,2015-02-01,2015Q1
"비철금속 제련, 정련 및 합금",15040,출하지수201502,85.5,201502,2015,2,2015-02-01,2015Q1
"비철금속압연, 압출 및 연신제품",15050,출하지수201502,88.6,201502,2015,2,2015-02-01,2015Q1
기타 1차 비철금속,15060,출하지수201502,88.7,201502,2015,2,2015-02-01,2015Q1
비철금속 주조업,15070,출하지수201502,87.1,201502,2015,2,2015-02-01,2015Q1
"도금, 착색 및 기타 표면처리강재",15090,출하지수201502,81.2,201502,2015,2,2015-02-01,2015Q1
부품,20000,출하지수201502,86.5,201502,2015,2,2015-02-01,2015Q1
금속가공제품,21000,출하지수201502,86.0,201502,2015,2,2015-02-01,2015Q1
"금속탱크, 저장조 및 유사용기",21010,출하지수201502,91.3,201502,2015,2,2015-02-01,2015Q1
핵반응기 및 증기발생기부품,21020,출하지수201502,77.0,201502,2015,2,2015-02-01,2015Q1
무기 및 총포탄 부품,21030,출하지수201502,80.7,201502,2015,2,2015-02-01,2015Q1
"금속 단조, 압형 및 분말야금 제품",21040,출하지수201502,87.8,201502,2015,2,2015-02-01,2015Q1
"금속열처리업, 도금 및 기타 처리업",21050,출하지수201502,82.4,201502,2015,2,2015-02-01,2015Q1
톱 및 호환성공구,21060,출하지수201502,90.0,201502,2015,2,2015-02-01,2015Q1
금속파스너 및 스프링,21070,출하지수201502,87.9,201502,2015,2,2015-02-01,2015Q1
기타 금속제 부품,21090,출하지수201502,85.0,201502,2015,2,2015-02-01,2015Q1
일반기계부품,22000,출하지수201502,90.1,201502,2015,2,2015-02-01,2015Q1
내연기관 및 터빈,22010,출하지수201502,87.1,201502,2015,2,2015-02-01,2015Q1
유압기기,22020,출하지수201502,90.4,201502,2015,2,2015-02-01,2015Q1
펌프 및 압축기 제조업,22030,출하지수201502,87.4,201502,2015,2,2015-02-01,2015Q1
"베어링, 기어 및 동력전달장치",22040,출하지수201502,90.8,201502,2015,2,2015-02-01,2015Q1
산업용오븐 및 노용부품,22050,출하지수201502,84.6,201502,2015,2,2015-02-01,2015Q1
운반하역기계부품,22060,출하지수201502,84.7,201502,2015,2,2015-02-01,2015Q1
냉동공조기계부품,22070,출하지수201502,82.8,201502,2015,2,2015-02-01,2015Q1
사무용 기계 및 장비,22080,출하지수201502,84.7,201502,2015,2,2015-02-01,2015Q1
기타 일반목적용 기계부품,22090,출하지수201502,81.2,201502,2015,2,2015-02-01,2015Q1
농업 및 임업용 기계,22100,출하지수201502,95.5,201502,2015,2,2015-02-01,2015Q1
가공공작기계부품,22110,출하지수201502,95.5,201502,2015,2,2015-02-01,2015Q1
금속 주조 및 기타 야금용 기계,22120,출하지수201502,95.4,201502,2015,2,2015-02-01,2015Q1
건설광산기계부품,22130,출하지수201502,96.3,201502,2015,2,2015-02-01,2015Q1
음식료품 및 담배 가공기계부품,22140,출하지수201502,95.5,201502,2015,2,2015-02-01,2015Q1
기타 섬유기계부품,22150,출하지수201502,95.0,201502,2015,2,2015-02-01,2015Q1
반도체 및 평판디스플레이 제조용 기계,22160,출하지수201502,95.5,201502,2015,2,2015-02-01,2015Q1
산업용 로봇 부품,22170,출하지수201502,95.6,201502,2015,2,2015-02-01,2015Q1
기타 특수목적용 기계부품,22190,출하지수201502,99.1,201502,2015,2,2015-02-01,2015Q1
전기장비부품,24000,출하지수201502,85.6,201502,2015,2,2015-02-01,2015Q1
전동기 및 발전기,24010,출하지수201502,82.4,201502,2015,2,2015-02-01,2015Q1
변압기 및 정지형 변환기,24020,출하지수201502,83.0,201502,2015,2,2015-02-01,2015Q1
전기공급 및 전기제어장치,24030,출하지수201502,92.5,201502,2015,2,2015-02-01,2015Q1
일차전지 및 축전지,24040,출하지수201502,82.8,201502,2015,2,2015-02-01,2015Q1
절연선 및 케이블,24050,출하지수201502,86.8,201502,2015,2,2015-02-01,2015Q1
전구 및 조명장치,24060,출하지수201502,83.4,201502,2015,2,2015-02-01,2015Q1
가정용 기기,24070,출하지수201502,78.4,201502,2015,2,2015-02-01,2015Q1
기타 전기장비,24090,출하지수201502,77.3,201502,2015,2,2015-02-01,2015Q1
전자부품,25000,출하지수201502,84.7,201502,2015,2,2015-02-01,2015Q1
전자집적회로,25010,출하지수201502,79.9,201502,2015,2,2015-02-01,2015Q1
"다이오드, 트랜지스터 및 유사 반도체소자",25020,출하지수201502,93.6,201502,2015,2,2015-02-01,2015Q1
평판디스플레이,25030,출하지수201502,78.3,201502,2015,2,2015-02-01,2015Q1
인쇄회로기판 및 전자부품 실장기판,25040,출하지수201502,87.9,201502,2015,2,2015-02-01,2015Q1
그외 전자부품,25050,출하지수201502,91.6,201502,2015,2,2015-02-01,2015Q1
컴퓨터 주변기기,25060,출하지수201502,112.5,201502,2015,2,2015-02-01,2015Q1
유선 통신장비,25070,출하지수201502,96.6,201502,2015,2,2015-02-01,2015Q1
방송장비 및 통신장비,25080,출하지수201502,88.4,201502,2015,2,2015-02-01,2015Q1
방송수신기 및 기타 영상기기,25090,출하지수201502,92.8,201502,2015,2,2015-02-01,2015Q1
음향기기,25100,출하지수201502,95.9,201502,2015,2,2015-02-01,2015Q1
마그네틱 및 광학 매체,25110,출하지수201502,87.7,201502,2015,2,2015-02-01,2015Q1
정밀기기부품,26000,출하지수201502,97.2,201502,2015,2,2015-02-01,2015Q1
